district_code,district_name_en,district_name_ta,source,source_url,download_date
TN-D01,Ariyalur,அரியலூர்,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D02,Chengalpattu,செங்கல்பட்டு,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D03,Chennai,சென்னை,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D04,Coimbatore,கோயம்புத்தூர்,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D05,Cuddalore,கடலூர்,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D06,Dharmapuri,தர்மபுரி,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D07,Dindigul,திண்டுக்கல்,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D08,Erode,ஈரோடு,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D09,Kallakurichi,கள்ளக்குறிச்சி,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D10,Kanchipuram,காஞ்சிபுரம்,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D11,Kanyakumari,கன்னியாகுமரி,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D12,Karur,கரூர்,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D13,Krishnagiri,கிருஷ்ணகிரி,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D14,Madurai,மதுரை,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D15,Mayiladuthurai,மயிலாடுதுறை,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D16,Nagapattinam,நாகப்பட்டினம்,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D17,Namakkal,நாமக்கல்,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D18,Nilgiris,நீலகிரி,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D19,Perambalur,பெரம்பலூர்,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D20,Pudukkottai,புதுக்கோட்டை,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D21,Ramanathapuram,ராமநாதபுரம்,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D22,Ranipet,இராணிப்பேட்டை,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D23,Salem,சேலம்,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D24,Sivaganga,சிவகங்கை,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D25,Tenkasi,தென்காசி,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D26,Thanjavur,தஞ்சாவூர்,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D27,Theni,தேனி,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D28,Thoothukudi,தூத்துக்குடி,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D29,Tiruchirappalli,திருச்சிராப்பள்ளி,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D30,Tirunelveli,திருநெல்வேலி,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D31,Tirupathur,திருப்பத்தூர்,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D32,Tiruppur,திருப்பூர்,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D33,Tiruvallur,திருவள்ளூர்,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D34,Tiruvannamalai,திருவண்ணாமலை,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D35,Tiruvarur,திருவாரூர்,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D36,Vellore,வேலூர்,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D37,Viluppuram,விழுப்புரம்,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
TN-D38,Virudhunagar,விருதுநகர்,TN-REVENUE-ADMIN,https://www.tn.gov.in/deptt/revenue.htm,2026-08-31
